Ticket_ID,Airline,Origin,Destination,Distance_km,Class,Days_Before_Departure,Price_USD,Units_Sold,Revenue_USD,,Class,Total Sales,Average Sales,Total Revenue,Average Revenue
5,Qatar Airways,Doha,Dubai,1308,Business,60,626.66,92,57652.72,,,,,,
9,Qatar Airways,Paris,Riyadh,7150,Business,24,1254.97,121,151851.37,,Business,1027,93.36363636,1703027.4,154820.6727
12,Qatar Airways,Doha,Cairo,5589,Business,108,3519.14,19,66863.66,,,,,,
29,Qatar Airways,New York,Istanbul,2817,Business,99,5367.82,129,692448.78,,Economy,817,81.7,2251871.79,225187.179
87,Qatar Airways,Mumbai,Riyadh,884,Business,14,3172.05,60,190323,,,,,,
90,Qatar Airways,Istanbul,Jeddah,11901,Business,75,365.36,181,66130.16,,First,1500,100,4167469.37,277831.2913
110,Qatar Airways,Istanbul,Riyadh,2623,Business,18,1069.93,200,213986,,Total,3344,275.0636364,8122368.56,657839.1431
124,Qatar Airways,Paris,Dubai,2970,Business,69,275.34,107,29461.38,,,,,,
140,Qatar Airways,Paris,London,11511,Business,66,2601.86,86,223759.96,,,,,,
147,Qatar Airways,London,Mumbai,9400,Business,117,395.88,23,9105.24,,Difference Between the Three,,,,
230,Qatar Airways,Doha,Riyadh,376,Business,48,160.57,9,1445.13,,,,,,
14,Qatar Airways,Doha,Cairo,9572,Economy,48,3485.76,72,250974.72,,Business and Economy,,,,
40,Qatar Airways,Mumbai,Cairo,4434,Economy,99,1798.55,150,269782.5,,Sales,,Revenue,,
42,Qatar Airways,Istanbul,Dubai,11502,Economy,43,3552.64,66,234474.24,,Total,210,Total,548844.39,
49,Qatar Airways,London,New York,3482,Economy,90,2052.97,16,32847.52,,Average,11.66363636,Average,70366.50627,
52,Qatar Airways,Mumbai,London,8504,Economy,76,5363.96,15,80459.4,,,,,,
72,Qatar Airways,Cairo,Paris,5031,Economy,92,451.04,148,66753.92,,Business and First ,,,,
152,Qatar Airways,Dubai,Mumbai,4151,Economy,23,2026.29,40,81051.6,,Sales,,Revenue,,
154,Qatar Airways,Mumbai,Dubai,6407,Economy,89,614.55,38,23352.9,,Total,473,Total,2464441.97,
168,Qatar Airways,Istanbul,Mumbai,10760,Economy,32,2737.17,157,429735.69,,Average ,6.636363636,Average ,123010.6186,
195,Qatar Airways,New York,Cairo,3900,Economy,3,6803.82,115,782439.3,,,,,,
21,Qatar Airways,Doha,New York,10971,First,19,4419.58,143,631999.94,,Economy and First,,,,
45,Qatar Airways,Riyadh,Paris,471,First,88,2536.28,144,365224.32,,Sales,,Revenue,,
58,Qatar Airways,Mumbai,Paris,5736,First,30,6473.45,142,919229.9,,Total,683,Total ,1915597.58,
67,Qatar Airways,Jeddah,Cairo,6879,First,111,3391.11,163,552750.93,,Average ,18.3,Average ,52644.11233,
70,Qatar Airways,Cairo,Mumbai,4258,First,60,2116.88,181,383155.28,,,,,,
133,Qatar Airways,Istanbul,Paris,484,First,70,2396.76,5,11983.8,,,,,,
150,Qatar Airways,Doha,London,6143,First,14,912.09,7,6384.63,,,,,,
151,Qatar Airways,Cairo,Paris,3733,First,48,1486.51,95,141218.45,,,,,,
163,Qatar Airways,Dubai,Jeddah,11848,First,81,4168.67,130,541927.1,,,,,,
164,Qatar Airways,Paris,Mumbai,9012,First,38,821.38,118,96922.84,,,,,,
165,Qatar Airways,Istanbul,London,4565,First,81,1767.21,106,187324.26,,,,,,
194,Qatar Airways,Dubai,Doha,1647,First,70,425.98,40,17039.2,,,,,,
196,Qatar Airways,Dubai,New York,1891,First,76,2026.24,95,192492.8,,,,,,
231,Qatar Airways,London,Mumbai,11153,First,1,1204.97,36,43378.92,,,,,,
246,Qatar Airways,Cairo,Paris,2389,First,33,804.6,95,76437,,,,,,
