Ticket_ID,Airline,Origin,Destination,Distance_km,Class,Days_Before_Departure,Price_USD,Units_Sold,Revenue_USD,,Class,Total Sales,Average Sales,Total Revenue,Average Revenue
22,British Airways,London,New York,1430,Business,3,815.27,97,79081.19,,,,,,
37,British Airways,Paris,Doha,8180,Business,40,552.54,19,10498.26,,Business,871,87.1,2022707.85,202270.785
57,British Airways,Paris,Doha,1062,Business,26,504.74,89,44921.86,,,,,,
65,British Airways,Riyadh,Paris,8616,Business,87,1934.15,82,158600.3,,Economy,1530,109.2857143,2380001.35,170000.0964
91,British Airways,Mumbai,Paris,5613,Business,30,280.23,158,44276.34,,,,,,
92,British Airways,New York,Jeddah,10446,Business,40,533.61,99,52827.39,,First,1323,110.25,3463255.29,288604.6075
125,British Airways,Istanbul,Cairo,4168,Business,7,907.58,34,30857.72,,Total,3724,306.6357143,7865964.49,660875.4889
167,British Airways,New York,Cairo,5059,Business,3,1407.07,57,80202.99,,,,,,
203,British Airways,London,Istanbul,637,Business,115,8559.08,159,1360893.72,,,,,,
213,British Airways,Doha,Istanbul,6355,Business,90,2085.04,77,160548.08,,Difference Between the Three,,,,
28,British Airways,Riyadh,Dubai,10297,Economy,93,3229.28,63,203444.64,,,,,,
46,British Airways,Dubai,Paris,2652,Economy,39,1142.37,174,198772.38,,Business and Economy,,,,
48,British Airways,London,Paris,3448,Economy,15,844.79,134,113201.86,,Sales,,Revenue,,
71,British Airways,New York,Riyadh,3485,Economy,95,3977.68,17,67620.56,,Total Sales,659,Total Revenue,357293.5,
81,British Airways,Jeddah,Dubai,10236,Economy,13,1086.89,37,40214.93,,Average Sales,22.18571429,Average Revenue,32270.68857,
99,British Airways,Mumbai,London,1168,Economy,27,2267.18,199,451168.82,,,,,,
102,British Airways,Mumbai,Cairo,8838,Economy,62,863.15,83,71641.45,,Business and First,,,,
137,British Airways,Cairo,Riyadh,4918,Economy,101,988.75,156,154245,,Sales,,Revenue,,
159,British Airways,London,Riyadh,4772,Economy,82,717.41,148,106176.68,,Total Sales,452,Total Revenue,1440547.44,
160,British Airways,London,Riyadh,5319,Economy,15,2704.53,82,221771.46,,Average Sales,23.15,Average Revenue,86333.8225,
193,British Airways,Paris,Istanbul,7993,Economy,55,1952.84,61,119123.24,,,,,,
208,British Airways,Cairo,Doha,10371,Economy,101,532.94,194,103390.36,,Economy and First,,,,
209,British Airways,London,Cairo,966,Economy,4,4045.74,43,173966.82,,Sales,,Revenue ,,
234,British Airways,London,Cairo,7886,Economy,25,2555.85,139,355263.15,,Total Sales,207,Total Revenue,1083253.94,
3,British Airways,Dubai,Riyadh,2698,First,21,3606.08,134,483214.72,,Average Sales,0.964285714,Average Revenue ,118604.5111,
41,British Airways,Jeddah,Paris,8451,First,4,3088.65,154,475652.1,,,,,,
60,British Airways,Jeddah,Paris,4868,First,81,6581.19,135,888460.65,,,,,,
113,British Airways,Istanbul,Dubai,7074,First,97,522.34,49,25594.66,,,,,,
127,British Airways,Doha,Riyadh,5010,First,106,4532.22,57,258336.54,,,,,,
162,British Airways,Riyadh,New York,9279,First,98,711.26,195,138695.7,,,,,,
170,British Airways,London,Jeddah,9263,First,20,556.44,9,5007.96,,,,,,
184,British Airways,New York,London,903,First,52,3786.09,147,556555.23,,,,,,
190,British Airways,Doha,Jeddah,10590,First,30,134.76,163,21965.88,,,,,,
204,British Airways,Riyadh,New York,2639,First,54,2912.55,149,433969.95,,,,,,
226,British Airways,Paris,Dubai,2224,First,84,106.07,28,2969.96,,,,,,
242,British Airways,Jeddah,Paris,2551,First,34,1677.98,103,172831.94,,,,,,
