Ticket_ID,Airline,Origin,Destination,Distance_km,Class,Days_Before_Departure,Price_USD,Units_Sold,Revenue_USD,,Class,Total Sales,Average Sales,Total Revenue,Average Revenue
15,Lufthansa,Jeddah,Cairo,5492,Business,38,2044.55,154,314860.7,,,,,,
33,Lufthansa,New York,London,10010,Business,44,1895.91,123,233196.93,,Business,1000,90.90909091,2690237.73,244567.0664
47,Lufthansa,Paris,Istanbul,4452,Business,6,1593.55,77,122703.35,,,,,,
86,Lufthansa,Dubai,New York,2167,Business,107,584.62,10,5846.2,,Economy,1221,93.92307692,2393711.64,184131.6646
88,Lufthansa,Jeddah,Doha,6188,Business,35,5264.14,196,1031771.44,,,,,,
89,Lufthansa,Istanbul,New York,5347,Business,66,921.18,84,77379.12,,First,676,67.6,1192351.63,119235.163
100,Lufthansa,Doha,Riyadh,5802,Business,96,1984.74,61,121069.14,,Total,2897,252.4321678,6276301,547933.894
188,Lufthansa,London,Dubai,11323,Business,100,373.53,28,10458.84,,,,,,
237,Lufthansa,New York,Riyadh,7370,Business,102,2852.67,91,259592.97,,,,,,
243,Lufthansa,London,Istanbul,7175,Business,79,3648.54,26,94862.04,,Difference Between the Three,,,,
249,Lufthansa,Riyadh,Istanbul,8028,Business,58,2789.98,150,418497,,,,,,
18,Lufthansa,New York,Riyadh,11244,Economy,37,306.5,34,10421,,Business and Economy,,,,
55,Lufthansa,Cairo,Doha,4586,Economy,50,2477.71,184,455898.64,,Sales,,Revenue,,
59,Lufthansa,Mumbai,Istanbul,951,Economy,102,824.72,72,59379.84,,Total,221,Total,296526.09,
74,Lufthansa,Jeddah,Cairo,8292,Economy,87,742.15,138,102416.7,,Average,3.013986014,Average,60435.40175,
84,Lufthansa,Cairo,Riyadh,4239,Economy,21,2392.13,112,267918.56,,,,,,
93,Lufthansa,Paris,Dubai,2068,Economy,93,3274.89,97,317664.33,,Business and First,,,,
95,Lufthansa,Mumbai,Cairo,11306,Economy,19,5133.78,67,343963.26,,Sales,,Revenue,,
105,Lufthansa,Mumbai,London,8427,Economy,19,3758.74,97,364597.78,,Total,324,Total,1497886.1,
173,Lufthansa,Mumbai,Doha,2274,Economy,40,2299.94,20,45998.8,,Average,23.30909091,Average ,125331.9034,
192,Lufthansa,Istanbul,Paris,807,Economy,85,2110.31,33,69640.23,,,,,,
199,Lufthansa,Paris,New York,9628,Economy,31,857.6,97,83187.2,,Economy and First,,,,
202,Lufthansa,Riyadh,Dubai,11626,Economy,68,935.49,170,159033.3,,Sales,,Revenue,,
227,Lufthansa,Cairo,Riyadh,5792,Economy,50,1135.92,100,113592,,Total ,545,Total,1201360.01,
20,Lufthansa,Paris,Dubai,9731,First,4,1947.5,81,157747.5,,Average ,26.32307692,Average ,64896.50162,
32,Lufthansa,Dubai,New York,1682,First,83,3316.6,32,106131.2,,,,,,
61,Lufthansa,New York,Doha,11300,First,9,293.25,5,1466.25,,,,,,
82,Lufthansa,New York,Dubai,804,First,16,2045.27,26,53177.02,,,,,,
97,Lufthansa,Paris,Cairo,1888,First,66,916.41,95,87058.95,,,,,,
138,Lufthansa,Riyadh,Doha,7826,First,24,1554.41,41,63730.81,,,,,,
169,Lufthansa,Mumbai,Paris,10515,First,56,1883.93,33,62169.69,,,,,,
179,Lufthansa,Cairo,Riyadh,6952,First,93,955.08,100,95508,,,,,,
189,Lufthansa,Cairo,Mumbai,543,First,54,4434.71,99,439036.29,,,,,,
220,Lufthansa,Doha,Cairo,1463,First,32,770.28,164,126325.92,,,,,,
